LEN,LEX,SEN,SEX,PSM,SLV,CLS,NOP,RMR,TCS
False,False,False,False,0,0,19109.5,19109.5,4.0,Sun Sep 25 12:00:07 2022
False,False,False,False,0,0,18983.5,18983.5,4.0,Sun Sep 25 16:00:06 2022
False,False,False,False,0,0,18911.5,18911.5,4.0,Sun Sep 25 20:00:11 2022
False,False,False,False,0,0,18805.0,18805.0,4.0,Mon Sep 26 00:00:06 2022
False,False,False,False,0,0,18860.0,18860.0,4.0,Mon Sep 26 04:00:06 2022
False,False,False,False,0,0,18906.5,18906.5,4.0,Mon Sep 26 08:00:09 2022
False,False,False,False,0,0,18867.5,18867.5,4.0,Mon Sep 26 12:00:06 2022
False,False,False,False,0,0,19109.0,19109.0,4.0,Mon Sep 26 16:00:14 2022
False,False,False,False,0,0,19197.5,19197.5,4.0,Mon Sep 26 20:00:11 2022
False,False,False,False,0,0,19222.0,19222.0,4.0,Tue Sep 27 00:00:06 2022
True,False,False,True,0.596533129980659,18850.839105,20091.5,20091.5,4.0,Tue Sep 27 04:00:11 2022
False,False,False,False,0,0,20175.5,20175.5,4.0,Tue Sep 27 08:00:10 2022
False,False,False,False,0,0,20222.5,20222.5,4.0,Tue Sep 27 12:00:06 2022
False,False,False,False,0,0,19879.0,19879.0,4.0,Tue Sep 27 16:00:06 2022
False,False,False,False,0,0,19069.0,19069.0,4.0,Tue Sep 27 20:00:07 2022
False,False,False,False,0,0,19068.0,19068.0,4.0,Wed Sep 28 00:00:06 2022
False,False,False,False,0,0,18735.5,18735.5,4.0,Wed Sep 28 04:00:07 2022
False,False,False,False,0,0,18779.0,18779.0,4.0,Wed Sep 28 08:00:08 2022
False,False,False,False,0,0,18945.0,18945.0,4.0,Wed Sep 28 12:00:06 2022
False,False,False,False,0,0,19481.5,19481.5,4.0,Wed Sep 28 16:00:06 2022
False,False,False,False,0,0,19531.0,19531.0,4.0,Wed Sep 28 20:00:07 2022
False,False,False,False,0,0,19408.5,19408.5,4.0,Thu Sep 29 00:00:06 2022
False,False,False,False,0,0,19494.0,19494.0,4.0,Thu Sep 29 04:00:05 2022
False,False,False,False,0,0,19354.0,19354.0,4.0,Thu Sep 29 08:00:07 2022
False,False,False,False,0,0,19455.0,19455.0,4.0,Thu Sep 29 12:00:07 2022
False,False,False,False,0,0,19281.0,19281.0,4.0,Thu Sep 29 16:00:06 2022
False,False,False,False,0,0,19395.0,19395.0,4.0,Thu Sep 29 20:00:07 2022
False,False,False,False,0,0,19580.5,19580.5,4.0,Fri Sep 30 00:00:06 2022
False,False,False,False,0,0,19388.5,19388.5,4.0,Fri Sep 30 04:00:06 2022
False,False,False,False,0,0,19562.0,19562.0,4.0,Fri Sep 30 08:00:06 2022
False,False,False,False,0,0,19429.0,19429.0,4.0,Fri Sep 30 12:00:07 2022
False,False,False,False,0,0,19744.5,19744.5,4.0,Fri Sep 30 16:00:06 2022
False,False,False,False,0,0,19467.5,19467.5,4.0,Fri Sep 30 20:00:06 2022
False,False,False,False,0,0,19411.0,19411.0,4.0,Sat Oct  1 00:00:10 2022
False,False,False,False,0,0,19406.0,19406.0,4.0,Sat Oct  1 04:00:06 2022
False,False,False,False,0,0,19306.5,19306.5,4.0,Sat Oct  1 08:00:07 2022
False,False,False,False,0,0,19300.5,19300.5,4.0,Sat Oct  1 12:00:06 2022
False,False,False,False,0,0,19323.0,19323.0,4.0,Sat Oct  1 16:00:06 2022
False,False,False,False,0,0,19257.5,19257.5,4.0,Sat Oct  1 20:00:07 2022
False,False,False,False,0,0,19301.0,19301.0,4.0,Sun Oct  2 00:00:06 2022
False,False,False,False,0,0,19302.0,19302.0,4.0,Sun Oct  2 04:00:05 2022
False,False,False,False,0,0,19273.0,19273.0,4.0,Sun Oct  2 08:00:06 2022
False,False,False,False,0,0,19187.0,19187.0,4.0,Sun Oct  2 12:00:06 2022
False,False,False,False,0,0,19137.5,19137.5,4.0,Sun Oct  2 16:00:07 2022
False,False,False,False,0,0,19248.0,19248.0,4.0,Sun Oct  2 20:00:06 2022
False,False,False,False,0,0,19045.0,19045.0,4.0,Mon Oct  3 00:00:05 2022
False,False,False,False,0,0,19161.5,19161.5,4.0,Mon Oct  3 04:00:07 2022
False,False,False,False,0,0,19188.5,19188.5,4.0,Mon Oct  3 08:00:07 2022
False,False,False,False,0,0,19243.0,19243.0,4.0,Mon Oct  3 12:00:08 2022
False,False,False,False,0,0,19328.0,19328.0,4.0,Mon Oct  3 16:00:07 2022
False,False,False,False,0,0,19538.0,19538.0,4.0,Mon Oct  3 20:00:06 2022
False,False,False,False,0,0,19625.5,19625.5,4.0,Tue Oct  4 00:00:06 2022
False,False,False,False,0,0,19596.5,19596.5,4.0,Tue Oct  4 04:00:07 2022
False,False,False,False,0,0,19957.5,19957.5,4.0,Tue Oct  4 08:00:07 2022
False,False,False,False,0,0,19930.5,19930.5,4.0,Tue Oct  4 12:00:07 2022
False,False,False,False,0,0,20090.5,20090.5,4.0,Tue Oct  4 16:00:06 2022
False,False,False,False,0,0,20219.0,20219.0,4.0,Tue Oct  4 20:00:06 2022
True,False,False,True,1.30226817085138,19752.34645,20335.0,20335.0,4.0,Wed Oct  5 00:00:06 2022
False,False,False,False,0,0,20184.5,20184.5,4.0,Wed Oct  5 04:00:07 2022
False,False,False,False,0,0,20217.0,20217.0,4.0,Wed Oct  5 08:00:08 2022
False,False,False,False,0,0,20022.5,20022.5,4.0,Wed Oct  5 12:00:07 2022
False,False,False,False,0,0,20000.0,20000.0,4.0,Wed Oct  5 16:00:06 2022
False,False,False,False,0,0,20111.5,20111.5,4.0,Wed Oct  5 20:00:07 2022
False,False,False,False,0,0,20156.0,20156.0,4.0,Thu Oct  6 00:00:06 2022
