TRADING_BALANCE_BYBIT,WITHDRAW_APPLY_BYBIT,WITHDRAW_AMOUNT_BYBIT,DEPOSIT_APPLY_BYBIT,DEPOSIT_AMOUNT_BYBIT,PNL,PNLP,HYPO_EQUITY_CURVE,ACCOUNT_MIN_TRADING_BALANCE_BYBIT,Time,ALLOWED_DRAW_DOWN,TRADE_ID
0.02676251,FALSE,0.00000000,FALSE,0.00000000,0.00000000,0.00000000,100,0.00300000,1609617586,40.0,0
0.02555545,FALSE,0.00000000,FALSE,0.00000000,-0.00120706,-4.510264545,95.48973546,0.00300000,1609617646,40.0,1
0.02466473,FALSE,0.00000000,FALSE,0.00000000,-0.00089072,-3.485440483,92.16149756,0.00300000,1609761647,40.0,2
0.02370625,FALSE,0.00000000,FALSE,0.00000000,-0.00095848,-3.886034836,88.58006966,0.00300000,1609876848,40.0,3
0.02475834,FALSE,0.00000000,FALSE,0.00000000,0.00105209,4.438027946,92.5112779,0.00300000,1610308847,40.0,4
0.02364616,FALSE,0.00000000,FALSE,0.00000000,-0.00111218,-4.49214285,88.35553915,0.00300000,1611590408,40.0,5
0.02269225,FALSE,0.00000000,FALSE,0.00000000,-0.00095391,-4.034101097,84.79118737,0.00300000,1611763208,40.0,6
0.02583626,FALSE,0.00000000,FALSE,0.00000000,0.00314401,13.85499455,96.53900176,0.00300000,1611878408,40.0,7
0.02491605,FALSE,0.00000000,FALSE,0.00000000,-0.00092021,-4.707380306,91.99454381,0.00300000,1613361606,40.0,8
0.0255978,FALSE,0.00000000,FALSE,0.00000000,0.00068175,3.65980729,95.36136683,0.00300000,1613563207,40.0,9
0.02766847,FALSE,0.00000000,FALSE,0.00000000,0.00207067,10.72342616,105.5873726,0.00300000,1613995212,40.0,10
0.02889286,FALSE,0.00000000,FALSE,0.00000000,0.00122439,5.726680215,111.6340238,0.00300000,1614614408,40.0,11
0.02861916,FALSE,0.00000000,FALSE,0.00000000,-0.0002737,-1.210802642,110.2823561,0.00300000,1615809607,40.0,12
0.02725544,FALSE,0.00000000,FALSE,0.00000000,-0.00136372,-6.106808699,103.5476235,0.00300000,1617019208,40.0,13
0.02620529,FALSE,0.00000000,FALSE,0.00000000,-0.00105015,-5.008484592,98.36145677,0.00300000,1617796808,40.0,14
0.02603795,FALSE,0.00000000,FALSE,0.00000000,-0.00016734,-0.840175385,97.53504802,0.00300000,1618214407,40.0,15
0.03031893,FALSE,0.00000000,FALSE,0.00000000,0.00428098,21.67592493,118.6766718,0.00300000,1618560006,40.0,16
0.03035042,FALSE,0.00000000,FALSE,0.00000000,3.15E-05,0.131039565,118.8321852,0.00300000,1619409619,40.0,17
0.02911327,FALSE,0.00000000,FALSE,0.00000000,-0.00123715,-5.141423964,112.7225188,0.00300000,1619726406,40.0,18
0.02844031,FALSE,0.00000000,FALSE,0.00000000,-0.00067296,-2.948313819,109.3991052,0.00300000,1619798405,40.0,19
0.02733764,FALSE,0.00000000,FALSE,0.00000000,-0.00110267,-4.977679509,103.9535683,0.00300000,1620100806,40.0,20
0.02714306,FALSE,0.00000000,FALSE,0.00000000,-0.00019458,-0.924387234,102.9926348,0.00300000,1620417606,40.0,21
0.02601361,FALSE,0.00000000,FALSE,0.00000000,-0.00112945,-5.415717256,97.41484491,0.00300000,1620576006,40.0,22
0.03537909,FALSE,0.00000000,FALSE,0.00000000,0.00936548,47.47883333,143.6662768,0.00300000,1620676805,40.0,23
0.03519939,FALSE,0.00000000,FALSE,0.00000000,-0.0001797,-0.617715333,142.7788281,0.00300000,1622462406,40.0,24
0.0347599,FALSE,0.00000000,FALSE,0.00000000,-0.00043949,-1.520128586,140.6084064,0.00300000,1622793606,40.0,25
0.03356423,FALSE,0.00000000,FALSE,0.00000000,-0.00119567,-4.199476817,134.7035889,0.00300000,1623283206,40.0,26
0.03577313,FALSE,0.00000000,TRUE,0.00118447,0.00102443,3.755763722,139.7627375,0.00300000,1623974406,40.0,27
0.03577313,FALSE,0.00000000,FALSE,0.00000000,0.00000000,0.00,139.76,0.01788657,1627257619.305090,40.0,28
0.03801794,FALSE,0.00000000,FALSE,0.00000000,0.00224481,6.28,148.53,0.01788657,1627646432.424910,40.0,29
0.03648839,FALSE,0.00000000,FALSE,0.00000000,-0.00152955,-4.02,142.55,0.01788657,1627689619.020540,40.0,30
0.03557177,FALSE,0.00000000,FALSE,0.00000000,-0.00091662,-2.51,138.97,0.01788657,1627862440.031490,40.0,31
0.03486850,FALSE,0.00000000,FALSE,0.00000000,-0.00070327,-1.98,136.22,0.01788657,1628193628.251590,40.0,32
0.03597974,FALSE,0.00000000,FALSE,0.00000000,0.00111124,3.19,140.56,0.01818469,1629244840.115780,40.0,33
0.03484544,FALSE,0.00000000,FALSE,0.00000000,-0.00113430,-3.15,136.13,0.01818469,1629403220.222830,40.0,34
0.03538143,FALSE,0.00000000,FALSE,0.00000000,0.00053599,1.54,138.22,0.01818469,1629835233.338840,40.0,35
0.03543879,FALSE,0.00000000,FALSE,0.00000000,0.00005736,0.16,138.44,0.01818469,1630526424.281630,40.0,36
0.03351032,FALSE,0.00000000,FALSE,0.00000000,-0.00192847,-5.44,130.91,0.01818469,1631030434.989980,40.0,37
0.03306923,FALSE,0.00000000,FALSE,0.00000000,-0.00044109,-1.32,129.19,0.01818469,1631952027.825030,40.0,38
0.03168691,FALSE,0.00000000,FALSE,0.00000000,-0.00138232,-4.18,123.79,0.01818469,1632110423.237930,40.0,39
0.03264390,FALSE,0.00000000,FALSE,0.00000000,0.00095699,3.02,127.53,0.01818469,1632974424.651530,40.0,40
0.03782494,FALSE,0.00000000,FALSE,0.00000000,0.00518104,15.87,147.77,0.01818469,1634832020.510300,40.0,41
0.03791632,FALSE,0.00000000,FALSE,0.00000000,0.00009138,0.24,148.13,0.01818469,1635854416.427660,40.0,42
0.03628042,FALSE,0.00000000,FALSE,0.00000000,-0.00163590,-4.31,141.74,0.01818469,1636344023.468990,40.0,43
0.03599542,FALSE,0.00000000,FALSE,0.00000000,-0.00028500,-0.79,140.63,0.01818469,1636588824.150580,40.0,44
0.03567610,FALSE,0.00000000,FALSE,0.00000000,-0.00031932,-0.89,139.38,0.01818469,1636948831.982350,40.0,45
0.03422150,FALSE,0.00000000,FALSE,0.00000000,-0.00145460,-4.08,133.70,0.01818469,1637035219.108590,40.0,46
0.03563812,FALSE,0.00000000,FALSE,0.00000000,0.00141662,4.14,139.23,0.01818469,1638144028.222670,40.0,47
0.03444926,FALSE,0.00000000,FALSE,0.00000000,-0.00118886,-3.34,134.59,0.01818469,1638561631.744430,40.0,48
0.03560746,FALSE,0.00000000,FALSE,0.00000000,0.00115820,3.36,139.11,0.01818469,1638835228.062980,40.0,49
0.03419323,FALSE,0.00000000,FALSE,0.00000000,-0.00141423,-3.97,133.58,0.01818469,1639411231.277420,40.0,50
0.03342202,FALSE,0.00000000,FALSE,0.00000000,-0.00077121,-2.26,130.57,0.01818469,1640073624.316400,40.0,51
0.03395281,FALSE,0.00000000,FALSE,0.00000000,0.00053079,1.59,132.64,0.01818469,1640491227.933970,40.0,52
0.03263511,FALSE,0.00000000,FALSE,0.00000000,-0.00131770,-3.88,127.49,0.01818469,1640678431.203920,40.0,53
0.03628966,FALSE,0.00000000,FALSE,0.00000000,0.00365455,11.20,141.77,0.01818469,1642694440.721280,40.0,54
0.03479768,FALSE,0.00000000,FALSE,0.00000000,-0.00149198,-4.11,135.94,0.01818469,1642723226.871790,40.0,55
0.03529198,FALSE,0.00000000,FALSE,0.00000000,0.00049430,1.42,137.87,0.01818469,1643990428.035050,40.0,56
0.03645445,FALSE,0.00000000,FALSE,0.00000000,0.00116247,3.29,142.41,0.01818469,1645113631.760820,40.0,57
0.03884495,FALSE,0.00000000,FALSE,0.00000000,0.00239050,6.56,151.75,0.01818469,1645747231.681650,40.0,58
